ID,airport_name,type,country,lat,long,elevation,service
BG-0124,Glozhene Cropduster Strip,closed,BG,43.69826,23.7847,233.0,no
BG-0125,Begovo Airstrip,closed,BG,42.41256,24.80449,741.0,no
BG-0127,Brest Airstrip,closed,BG,43.65949,24.59856,75.0,no
BG-0134,Lyubimets Airport,closed,BG,41.83271,26.07058,285.0,no
BG-0136,Galabovo Cropduster Strip,closed,BG,42.15686,25.81133,522.0,no
BG-0137,Lyulyakovo Airfield,closed,BG,43.67544,28.10369,696.0,no
BG-0140,Ekzarh Antimovo Cropduster Strip,closed,BG,42.54068,26.97151,664.0,no
BG-0145,Dalgopol Airfield,closed,BG,43.03371,27.33971,141.0,no
BG-0147,Alfatar Airfield,closed,BG,43.91055,27.29674,643.0,no
BG-0150,Bata Airfield,closed,BG,42.73299,27.48172,844.0,no
BG-0151,Mokresh Airfield,closed,BG,43.15716,26.86366,449.0,no
BG-0153,Gara Dulovo Airfield,closed,BG,43.790882,27.126844,814.0,no
BG-0156,Abrit Airfield,closed,BG,43.90966,27.81772,659.0,no
BG-0157,Krushari Airfield,small_airport,BG,43.83178,27.76284,712.0,no
BG-0159,Belitsa Airfield,small_airport,BG,43.94283,26.66035,420.0,no
BG-0160,Borisovo Airfield,small_airport,BG,43.92375,26.24698,179.0,no
BG-0161,Belgun Airfield,closed,BG,43.59368,28.33605,384.0,no
BG-0162,Dolna Dikanya Airfield,closed,BG,42.43235,23.10819,2178.0,no
BG-0163,Kardam Airfield,closed,BG,43.73626,28.11404,607.0,no
BG-0164,Isperih Airfield,closed,BG,43.74786,26.84907,814.0,no
BG-0166,Gabrovnitsa Air Base,closed,BG,43.5443,23.272499,626.0,no
BG-0169,Dobroslavtsi Air Base,closed,BG,42.811795,23.300114,1738.0,no
BG-0171,Cheshnegirovo Air Base,closed,BG,42.114101,24.992901,604.0,no
BG-0173,Konush Airstrip,closed,BG,42.072399,25.053301,500.0,no
BG-0176,Mustrak Air Base,closed,BG,41.840185,26.309205,675.0,no
BG-0177,Graf Ignatievo South Airport,closed,BG,42.263081,24.719297,623.0,no
BG-0178,Dobrich Air Base,closed,BG,43.6096,27.8365,825.0,no
BG-0182,Izgrev Airport,closed,BG,43.277222,27.701944,1119.0,no
BG-0184,Doyrantsi Airstrip,small_airport,BG,43.610644,27.153111,901.0,no
BG-HKV,Malevo Airfield,small_airport,BG,41.871799,25.604799,600.0,no
BG-JAM,Bezmer Air Base,medium_airport,BG,42.454899,26.3522,509.0,no
BY-0011,Aerodrom Belz,small_airport,UA,50.3771921,23.9648804,,no
CZ-0003,Jindřichův Hradec Hospital Helistop,heliport,CZ,49.13923,15.005691,1620.0,no
CZ-0004,Blansko Hospital Heliport,heliport,CZ,49.362389,16.654029,1038.0,no
CZ-0005,Boskovice Hospital Heliport,heliport,CZ,49.48963,16.646267,1198.0,no
CZ-0006,International Business Center Brno Heliport,heliport,CZ,49.200279,16.61389,774.0,no
CZ-0007,Břeclav Hospital Heliport,heliport,CZ,48.752309,16.877881,518.0,no
CZ-0008,Kyjov Hospital Helistop,heliport,CZ,49.008403,17.110684,730.0,no
CZ-0009,Brno University Hospital Bohunice Reserve Heliport,heliport,CZ,49.175688,16.569328,967.0,no
CZ-0010,Brno Černá Pole Heliport,heliport,CZ,49.203314,16.616512,791.0,no
CZ-0013,Hradec Králové Heliport,heliport,CZ,50.193309,15.825514,751.0,no
CZ-0015,Hradec Králové Teaching Hospital Rooftop Helipad,heliport,CZ,50.198182,15.828522,807.0,no
CZ-0016,Bruntál Regional Fire and Rescue Force Heliport,heliport,CZ,49.988549,17.453671,1772.0,no
CZ-0017,Krnov Hospital Heliport,heliport,CZ,50.096984,17.685183,1046.0,no
CZ-0024,Chrudim Hospital Heliport,heliport,CZ,49.941085,15.808309,925.0,no
CZ-0025,Domažlice Hospital Heliport,heliport,CZ,49.438409,12.90702,1521.0,no
CZ-0027,Bulovka Heliport,heliport,CZ,50.116234,14.462503,845.0,no
CZ-0030,Mělník Medical Rescue Service Heliport,heliport,CZ,50.351858,14.486858,557.0,no
CZ-0031,Hořín Heliport,heliport,CZ,50.344516,14.438294,535.0,no
CZ-0033,Hořovice Hospital Heliport,closed,CZ,49.840144,13.917671,1161.0,no
CZ-0034,Klaudiánova Hospital Heliport,heliport,CZ,50.419011,14.907112,761.0,no
CZ-0037,Masaryk Hospital Helistop,heliport,CZ,50.679862,14.020717,932.0,no
CZ-0038,Chomutov Hospital Heliport,heliport,CZ,50.453617,13.411807,1099.0,no
CZ-0039,Litoměřice Hospital Heliport,heliport,CZ,50.541735,14.146069,617.0,no
CZ-0042,Havlíčkův Brod Hospital Helistop,heliport,CZ,49.610314,15.570486,1535.0,no
CZ-0043,Jihlava Central Hospital Heliport,heliport,CZ,49.398525,15.567938,1752.0,no
CZ-0045,Kroměříž Hospital Heliport,heliport,CZ,49.291194,17.379699,666.0,no
CZ-0048,Borek Airfield,small_airport,CZ,50.210856,14.657693,557.0,no
CZ-0051,Bezdružice Airstrip,small_airport,CZ,49.899713,12.964956,1991.0,no
CZ-0052,Letisko Veľká Ida,small_airport,SK,48.5992279,21.1598857,,no
CZ-0053,Bynovec Airfield,small_airport,CZ,50.821899,14.27174,,no
CZ-0059,Chabeřice Private ULM Airstrip,small_airport,CZ,49.747569,15.06424,,no
CZ-0062,Chotěšov Airfield,small_airport,CZ,49.651667,13.189722,1181.0,no
CZ-0063,Kotvrdovice Airfield,small_airport,CZ,49.363986,16.784899,1860.0,no
CZ-0064,Kramolín UL,small_airport,CZ,48.915,14.726389,1650.0,no
